,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,65.0,8450,Pave,1.0,Lvl,1.0,Inside,1.0,CollgCr,Norm,Norm,1Fam,2Story,0.6666666666666666,0.4444444444444444,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,0.75,0.5,PConc,0.75,0.5,0.0,1.0,706,0.0,0,150,856,GasA,1.0,1.0,SBrkr,856,854,0,1710,1,0,2,1,3,1,0.75,8,Typ,0,-1.0,Attchd,2003.0,0.5,2,548,0.5,0.5,Y,0,61,0,0,0,0,0,2,2008,WD,Normal,208500
1,2,20,RL,80.0,9600,Pave,1.0,Lvl,1.0,FR2,1.0,Veenker,Feedr,Norm,1Fam,1Story,0.5555555555555556,0.7777777777777778,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.5,0.5,CBlock,0.75,0.5,1.0,0.8,978,0.0,0,284,1262,GasA,1.0,1.0,SBrkr,1262,0,0,1262,0,1,2,0,3,1,0.5,6,Typ,1,0.5,Attchd,1976.0,0.5,2,460,0.5,0.5,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
2,3,60,RL,68.0,11250,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,CollgCr,Norm,Norm,1Fam,2Story,0.6666666666666666,0.4444444444444444,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,0.75,0.5,PConc,0.75,0.5,0.3333333333333333,1.0,486,0.0,0,434,920,GasA,1.0,1.0,SBrkr,920,866,0,1786,1,0,2,1,3,1,0.75,6,Typ,1,0.5,Attchd,2001.0,0.5,2,608,0.5,0.5,Y,0,42,0,0,0,0,0,9,2008,WD,Normal,223500
3,4,70,RL,60.0,9550,Pave,0.6666666666666666,Lvl,1.0,Corner,1.0,Crawfor,Norm,Norm,1Fam,2Story,0.6666666666666666,0.4444444444444444,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,0.5,0.5,BrkTil,0.5,0.75,0.0,0.8,216,0.0,0,540,756,GasA,0.75,1.0,SBrkr,961,756,0,1717,1,0,1,0,3,1,0.75,7,Typ,1,0.75,Detchd,1998.0,0.0,3,642,0.5,0.5,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000
4,5,60,RL,84.0,14260,Pave,0.6666666666666666,Lvl,1.0,FR2,1.0,NoRidge,Norm,Norm,1Fam,2Story,0.7777777777777778,0.4444444444444444,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,0.75,0.5,PConc,0.75,0.5,0.6666666666666666,1.0,655,0.0,0,490,1145,GasA,1.0,1.0,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,0.75,9,Typ,1,0.5,Attchd,2000.0,0.5,3,836,0.5,0.5,Y,192,84,0,0,0,0,0,12,2008,WD,Normal,250000
5,6,50,RL,85.0,14115,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,Mitchel,Norm,Norm,1Fam,1.5Fin,0.4444444444444444,0.4444444444444444,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.5,0.5,Wood,0.75,0.5,0.0,1.0,732,0.0,0,64,796,GasA,1.0,1.0,SBrkr,796,566,0,1362,1,0,1,1,1,1,0.5,5,Typ,0,-1.0,Attchd,1993.0,0.0,2,480,0.5,0.5,Y,40,30,0,320,0,0,700,10,2009,WD,Normal,143000
6,7,20,RL,75.0,10084,Pave,1.0,Lvl,1.0,Inside,1.0,Somerst,Norm,Norm,1Fam,1Story,0.7777777777777778,0.4444444444444444,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,0.75,0.5,PConc,1.0,0.5,0.6666666666666666,1.0,1369,0.0,0,317,1686,GasA,1.0,1.0,SBrkr,1694,0,0,1694,1,0,2,0,3,1,0.75,7,Typ,1,0.75,Attchd,2004.0,0.5,2,636,0.5,0.5,Y,255,57,0,0,0,0,0,8,2007,WD,Normal,307000
7,8,60,RL,69.0,10382,Pave,0.6666666666666666,Lvl,1.0,Corner,1.0,NWAmes,PosN,Norm,1Fam,2Story,0.6666666666666666,0.5555555555555556,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,0.5,0.5,CBlock,0.75,0.5,0.3333333333333333,0.8,859,0.6,32,216,1107,GasA,1.0,1.0,SBrkr,1107,983,0,2090,1,0,2,1,3,1,0.5,7,Typ,2,0.5,Attchd,1973.0,0.5,2,484,0.5,0.5,Y,235,204,228,0,0,0,350,11,2009,WD,Normal,200000
8,9,50,RM,51.0,6120,Pave,1.0,Lvl,1.0,Inside,1.0,OldTown,Artery,Norm,1Fam,1.5Fin,0.6666666666666666,0.4444444444444444,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,0.5,0.5,BrkTil,0.5,0.5,0.0,0.0,0,0.0,0,952,952,GasA,0.75,1.0,FuseF,1022,752,0,1774,0,0,2,0,2,2,0.5,8,Min1,2,0.5,Detchd,1931.0,0.0,2,468,0.25,0.5,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900
9,10,190,RL,50.0,7420,Pave,1.0,Lvl,1.0,Corner,1.0,BrkSide,Artery,Artery,2fmCon,1.5Unf,0.4444444444444444,0.5555555555555556,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.5,0.5,BrkTil,0.5,0.5,0.0,1.0,851,0.0,0,140,991,GasA,1.0,1.0,SBrkr,1077,0,0,1077,1,0,1,0,2,2,0.5,5,Typ,2,0.5,Attchd,1939.0,0.5,1,205,0.75,0.5,Y,0,4,0,0,0,0,0,1,2008,WD,Normal,118000
